x_loc,y_loc,game_clock,shot_clock,quarter
85.75639,32.86025,713.96,14.21,1
85.75723,32.77421,713.92,14.19,1
85.77028,32.66983,713.89,14.17,1
85.78324,32.55254,713.85,14.15,1
85.79629,32.41717,713.81,14.13,1
85.8131,32.28543,713.77,14.11,1
85.82609,32.14258,713.73,14.09,1
85.83574,31.98927,713.7,14.07,1
85.80765,31.86404,713.66,14.05,1
85.78253,31.70554,713.62,14.03,1
85.75611,31.55121,713.58,14.01,1
85.78508,31.39263,713.54,13.99,1
85.75608,31.17408,713.51,13.97,1
85.71833,30.9572,713.47,13.95,1
85.70996,30.71258,713.43,13.93,1
85.69099,30.45642,713.39,13.91,1
85.69125,30.18028,713.35,13.89,1
85.67197,29.92479,713.32,13.87,1
85.64814,29.67192,713.28,13.85,1
85.62103,29.41565,713.24,13.83,1
85.58597,29.14458,713.2,13.81,1
85.55189,28.87319,713.16,13.79,1
85.52194,28.60557,713.13,13.78,1
85.49415,28.34456,713.09,13.76,1
85.43744,28.14697,713.05,13.74,1
85.35976,27.98875,713.01,13.72,1
85.28129,27.83644,712.97,13.7,1
85.20625,27.76364,712.94,13.68,1
85.13262,27.70796,712.9,13.66,1
85.06122,27.67145,712.86,13.64,1
85.01787,27.5773,712.82,13.62,1
84.95508,27.49251,712.78,13.6,1
84.88877,27.41894,712.75,13.58,1
84.80756,27.35967,712.71,13.56,1
84.70278,27.36788,712.67,13.54,1
84.58569,27.40177,712.63,13.52,1
84.46242,27.45393,712.59,13.5,1
84.33409,27.51602,712.56,13.48,1
84.19689,27.58827,712.52,13.46,1
84.08323,27.62183,712.48,13.44,1
83.99571,27.57302,712.44,13.42,1
83.90063,27.59663,712.4,13.4,1
83.81077,27.55623,712.37,13.38,1
83.72191,27.52144,712.33,13.36,1
83.6387,27.45757,712.29,13.34,1
83.51593,27.46783,712.25,13.32,1
83.40913,27.49602,712.22,13.3,1
83.30444,27.52707,712.18,13.28,1
83.20567,27.54557,712.14,13.26,1
83.12365,27.54423,712.1,13.24,1
83.05383,27.53493,712.06,13.22,1
82.98431,27.53547,712.03,13.2,1
82.92898,27.54783,711.99,13.18,1
82.87651,27.57247,711.95,13.16,1
82.81707,27.61339,711.91,13.14,1
82.74458,27.73003,711.87,13.12,1
82.66604,27.78751,711.84,13.1,1
82.57546,27.90073,711.8,13.08,1
82.48758,28.0308,711.76,13.06,1
82.40134,28.19247,711.72,13.04,1
82.31648,28.3629,711.68,13.02,1
82.23293,28.53408,711.65,13,1
82.14542,28.71717,711.61,12.98,1
82.06556,28.93099,711.57,12.96,1
81.98652,29.12421,711.53,12.94,1
81.90513,29.31556,711.49,12.92,1
81.8305,29.50586,711.46,12.9,1
81.74629,29.68481,711.42,12.88,1
81.6683,29.85768,711.38,12.86,1
81.59106,30.04666,711.34,12.84,1
